Date,Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Runs_only,Not_Outs
2009-01-19,Naeem Islam (BDESH),15,33,32,1,0,46.87,1,v Zimbabwe,Dhaka,15,0
2009-01-19,Mashrafe Mortaza (BDESH),5,14,17,1,0,29.41,1,v Zimbabwe,Dhaka,5,0
2009-01-19,Nazmul Hossain (BDESH),0,9,9,0,0,0,1,v Zimbabwe,Dhaka,0,0
2009-01-19,Rubel Hossain (BDESH),0*,2,2,0,0,0,1,v Zimbabwe,Dhaka,0*,1
2009-01-19,H Masakadza (ZIM),2,11,12,0,0,16.66,2,v Bangladesh,Dhaka,2,0
2009-01-19,T Taibu (ZIM),14,33,16,2,0,87.5,2,v Bangladesh,Dhaka,14,0
2009-01-19,S Matsikenyeri (ZIM),7,25,14,1,0,50,2,v Bangladesh,Dhaka,7,0
2009-01-19,SC Williams (ZIM),8,32,18,1,0,44.44,2,v Bangladesh,Dhaka,8,0
2009-01-19,E Chigumbura (ZIM),0,37,27,0,0,0,2,v Bangladesh,Dhaka,0,0
2009-01-19,MN Waller (ZIM),24,64,48,4,0,50,2,v Bangladesh,Dhaka,24,0
2009-01-19,KM Dabengwa (ZIM),1,19,16,0,0,6.25,2,v Bangladesh,Dhaka,1,0
2009-01-19,P Utseya (ZIM),21,76,75,1,0,28,2,v Bangladesh,Dhaka,21,0
2009-01-19,RW Price (ZIM),23*,80,52,2,0,44.23,2,v Bangladesh,Dhaka,23*,1
2009-01-19,T Mupariwa (ZIM),10*,38,22,0,0,45.45,2,v Bangladesh,Dhaka,10*,1
2009-01-20,TM Dilshan (SL),42,45,33,7,0,127.27,1,v Pakistan,Karachi,42,0
2009-01-20,ST Jayasuriya (SL),38,64,35,6,0,108.57,1,v Pakistan,Karachi,38,0
2009-01-20,KC Sangakkara (SL),49,110,70,4,0,70,1,v Pakistan,Karachi,49,0
2009-01-20,DPMD Jayawardene (SL),1,6,3,0,0,33.33,1,v Pakistan,Karachi,1,0
2009-01-20,CK Kapugedera (SL),27,53,43,2,0,62.79,1,v Pakistan,Karachi,27,0
2009-01-20,J Mubarak (SL),8,21,16,0,0,50,1,v Pakistan,Karachi,8,0
2009-01-20,MF Maharoof (SL),11,43,30,0,0,36.66,1,v Pakistan,Karachi,11,0
2009-01-20,T Thushara (SL),0,1,1,0,0,0,1,v Pakistan,Karachi,0,0
2009-01-20,KMDN Kulasekara (SL),24,35,33,1,0,72.72,1,v Pakistan,Karachi,24,0
2009-01-20,M Muralitharan (SL),7*,10,7,1,0,100,1,v Pakistan,Karachi,7*,1
2009-01-20,BAW Mendis (SL),1,7,3,0,0,33.33,1,v Pakistan,Karachi,1,0
2009-01-20,Khurram Manzoor (PAK),83,146,128,9,0,64.84,2,v Sri Lanka,Karachi,83,0
2009-01-20,Salman Butt (PAK),100*,183,117,13,0,85.47,2,v Sri Lanka,Karachi,100*,1
2009-01-20,Younis Khan (PAK),20,24,22,3,0,90.9,2,v Sri Lanka,Karachi,20,0
2009-01-20,Shoaib Malik (PAK),11*,11,10,1,0,110,2,v Sri Lanka,Karachi,11*,1
2009-01-21,V Sibanda (ZIM),7,54,39,0,0,17.94,1,v Bangladesh,Dhaka,7,0
2009-01-21,H Masakadza (ZIM),17,45,27,3,0,62.96,1,v Bangladesh,Dhaka,17,0
2009-01-21,S Matsikenyeri (ZIM),10,35,20,1,0,50,1,v Bangladesh,Dhaka,10,0
2009-01-21,T Taibu (ZIM),3,14,8,0,0,37.5,1,v Bangladesh,Dhaka,3,0
2009-01-21,SC Williams (ZIM),59,130,89,3,1,66.29,1,v Bangladesh,Dhaka,59,0
2009-01-21,E Chigumbura (ZIM),1,6,4,0,0,25,1,v Bangladesh,Dhaka,1,0
2009-01-21,MN Waller (ZIM),1,7,7,0,0,14.28,1,v Bangladesh,Dhaka,1,0
