,Player_Name,Country,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
154,Tamim Iqbal ,BDESH,18,64,42,4,0,42.85,1,v Sri Lanka,Dhaka,16 Jan 2009
155,Junaid Siddique ,BDESH,1,11,5,0,0,20.00,1,v Sri Lanka,Dhaka,16 Jan 2009
156,Mushfiqur Rahim ,BDESH,4,8,8,1,0,50.00,1,v Sri Lanka,Dhaka,16 Jan 2009
157,Mohammad Ashraful ,BDESH,13,30,25,2,0,52.00,1,v Sri Lanka,Dhaka,16 Jan 2009
158,Shakib Al Hasan ,BDESH,9,37,16,2,0,56.25,1,v Sri Lanka,Dhaka,16 Jan 2009
159,Raqibul Hasan ,BDESH,43*,127,107,1,0,40.18,1,v Sri Lanka,Dhaka,16 Jan 2009
160,Mahmudullah ,BDESH,26,46,36,2,1,72.22,1,v Sri Lanka,Dhaka,16 Jan 2009
161,Naeem Islam ,BDESH,21,46,50,2,0,42.00,1,v Sri Lanka,Dhaka,16 Jan 2009
162,Mashrafe Mortaza ,BDESH,0,2,2,0,0,0.00,1,v Sri Lanka,Dhaka,16 Jan 2009
163,Nazmul Hossain ,BDESH,0,1,2,0,0,0.00,1,v Sri Lanka,Dhaka,16 Jan 2009
164,Rubel Hossain ,BDESH,0,3,6,0,0,0.00,1,v Sri Lanka,Dhaka,16 Jan 2009
165,WU Tharanga ,SL,2,25,16,0,0,12.50,2,v Bangladesh,Dhaka,16 Jan 2009
166,ST Jayasuriya ,SL,0,1,0,0,0,-,2,v Bangladesh,Dhaka,16 Jan 2009
167,KC Sangakkara ,SL,59,189,133,6,0,44.36,2,v Bangladesh,Dhaka,16 Jan 2009
168,DPMD Jayawardene ,SL,0,1,2,0,0,0.00,2,v Bangladesh,Dhaka,16 Jan 2009
169,CK Kapugedera ,SL,1,4,3,0,0,33.33,2,v Bangladesh,Dhaka,16 Jan 2009
170,T Thushara ,SL,1,8,9,0,0,11.11,2,v Bangladesh,Dhaka,16 Jan 2009
171,J Mubarak ,SL,16,65,32,2,0,50.00,2,v Bangladesh,Dhaka,16 Jan 2009
